Date,Username,Comment,Like
2025-11-24T01:13:15Z,@hendratmobudihardjo4405,"Gak papa pak, biar saingan kita sebagai programmer makin berkurang, wkwk. Abis gitu, bisa lanjut scroll fesnuk, join ke IMPHNEN. Mantap2",0
2025-11-23T10:30:24Z,@TigaherangChannel,"Dari sekian banyak AI, sejauh ini gw baru pake chat GPT aja, itupun versi free.",0
2025-11-23T02:05:51Z,@noertri618,Gara-gara AI harga komponen-komponen pc naik gila-gilaan,0
2025-11-21T15:27:06Z,@kuliahkentang2146,"Kalo pas skripsi belom bisa coding, mau beli program atau pake AI....yaa tamat ditangan penguji yang notabene gen Z...",0
2025-11-18T09:04:50Z,@nengmoemoen,"Saya punya pengalaman, d kantor sayaadassorang junior yg melakukan apa2 dengan LLM tapi ketika ada suatu ketika internet mati, dan kami harus pake repo lokal eh dia malah banyak bingung bahakan untuk logic yg simpel. AI seperti LLM saya akui vanyak membantu banyak hal saya banyak debugging melalui chatgpt atau deepseek untuk efisiensi tapi kalau samapi benar benar tergantung itu bahaya karena banyak melemahkan logic",0
2025-11-15T20:13:09Z,@bimbim1862,"Saya sejak 2004 main code, setahun lalu oprek AI dari ollama Llama.3.2 pas saya berhasil dapet celah keamanannya (unfiltering) pas di rilis itu model di WA, sejak saat itu lsg gas bikin website chatgpt versi saya sendiri, basis model saya ambil dari: gemini 2.5 pro, gpt-4o (gpt-5 gk saya pake kayak robot respny), sonnet 4.5, grok 4, deepseek. Saya buat multimodal (input support: gambar, video, tts dan sebaliknya, document, sound all format, saya juga buat web search versi saya sendiri (unfiltering search), memory vector (ingatan jangka panjang) pake redis, tidak lupa saya tanem juga segudang fungsi agar AI bisa execut kode. Output support: generate gambar, video, speak/voice. Fitur lain akses kamera device atau bisa integrasi biar AI akses cctv, akses jaringan mikrotik, trigger output (AI bs merespon tanpa nunggu voice atau ketikan pengguna).<br><br>Nah ini yang penting:<br>Semua model saya buat unfilter, semua respone p*rn, vi*lation dan kata sl*ng tembus. (Dalam kasus penggunaan pribadi, maksudnya saya suka melakukan itu, krn menurut saya itu adalah kelayakan sebuah model, jd tidak berniat untuk mempublikasikannya ke publik tanpa filter sama sekali).<br><br>Bisa dikatakan saya enginering AI saat ini, website tersebut hrs di run minimal menggunakan 2vps, ram 1gb cukup. Tapi karena buat makan aja susah, akhirnya saya memutuskan untuk berjualan cilok keliling saja.<br><br>Pengalaman saya sama AI, terutama model tersebut, klo urusan koding jangankan kompleks, atau semi kompleks, 4 varibel aja klo kodenya rumit = halu, jd emng untuk saat ini AI blm bisa diandalkan untuk urusan programmer, apalagi menggantikannya.<br><br>Klo berbicara masa depan sekali lg itu baru konteks perkiraan krn bs aja ww3 terjadi dll, boro2 maju, mundur yang ada, seperti halnya saya berjualan cilok, semaksimal atau seoptimis apapun usaha kita, namun kita tidak pernah tau masa depan, karena batas dan ranah kita hanya sampai berusaha di titik maksimal.<br><br>Jika kalian mengatakan diri kalian developer, jadilah pembuat bukan pengguna.<br>Yang mau pesan cilok bisa hub.saya ya!",0
2025-11-15T03:56:11Z,@soloindiegamedevjourney,"Spesifikasi kita yg bikin, tapi AI yg implementasi.",0
2025-11-14T17:05:37Z,@enixmomo,"izin share viewpoint saya mas, saya owner bisnis , saya punya konsep dan ide utk sistem dan aplikasi yg saya perlukan, contohnya sekumpulan AI Agents layaknya struktur organisasi di perusahan manusia biasa, tetapi saya sudah coba 4x orang yg berbeda (bayar jasa) utk mewujudkan itu, tidak ada yg sesuai ekspektasi.<br><br>Saya coba belajar sendiri, ad progress tapi sangat lama dan tidak worth it untuk waktu nya (walaupun sembari dibantu AI by web).<br><br>Tapi setelah pakai MCP ClaudeCode, sekarang sistem AI Agents yg saya inginkan sudah hampir lengkap, mungkin AI sebagai teman belajar dan AI sebagai senjata utama ini tergantung kondisi masing-masing kita, bagi yg masih punya waktu utk belajar dan memang dunia nya di per-codingan / IT, memang sebaiknya tetap mengasah fundamental codingnya, namun bukan berarti Vibe Coding jelek utk semua orang.<br><br>walaupun pada realita VibeCoding pun tidak se-&quot;magic&quot; itu juga, mrka masih bs salah / silap, tergantung cara kita prompting dan PR terbesar nya adalah dibagian debugging dan testing manual (walaupun bisa buat script utk dia testing sendiri) tentu saja akurasinya tidak 100%.<br><br>Intinya tergantung situasi dan kondisi, tidak bs dipungkiri bahwa VibeCoding adalah suatu terobosan yang sangat baik, dan mau ga mau kita tetap harus bs beradaptasi dengan perkembangan yg ada.",0
2025-11-11T09:55:12Z,@iNTERnazionaleNotizia589,"Lumayan Pak, ngurangin saingan Lapangan Kerja, wkwkkw... AI bukan segala2nya 😁😁😁 Tidak ada Shortcut untuk menjadi Hokage",1
2025-11-10T16:44:10Z,@Muhammad.A.Firdaus,Kalo saya pake AI karena bukan mahasiswa lagi 😀,0
