Username,Comment,Like
hendratmobudihardjo4405,"['enggak', 'papa', 'pak', 'biar', 'saing', 'programmer', 'makin', 'kurang', 'wkwk', 'habis', 'lanjut', 'scroll', 'fesnuk', 'join', 'imphnen', 'mantap2']",0
tigaherangchannel,"['sekian', 'banyak', 'ai', 'jauh', 'gue', 'baru', 'pakai', 'chat', 'gpt', 'itu', 'versi', 'free']",0
noertri618,"['garagara', 'ai', 'harga', 'komponenkomponen', 'pc', 'naik', 'gilagilaan']",0
kuliahkentang2146,"['kalo', 'pas', 'skripsi', 'coding', 'mau', 'beli', 'program', 'pakai', 'aiyaa', 'tamat', 'tang', 'uji', 'notabene', 'gen']",0
nengmoemoen,"['punya', 'alam', 'kantor', 'sayaadassorang', 'junior', 'laku', 'apa', 'llm', 'suatu', 'internet', 'mati', 'pakai', 'repo', 'lokal', 'eh', 'malah', 'banyak', 'bingung', 'bahak', 'logic', 'simpel', 'ai', 'llm', 'aku', 'vanyak', 'bantu', 'banyak', 'banyak', 'debugging', 'lalu', 'chatgpt', 'deepseek', 'efisiensi', 'kalau', 'samapi', 'benar', 'benar', 'gantung', 'bahaya', 'banyak', 'lemah', 'logic']",0
bimbim1862,"['sejak', '2004', 'main', 'code', 'tahun', 'lalu', 'oprek', 'ai', 'ollama', 'llama32', 'pas', 'hasil', 'celah', 'aman', 'unfiltering', 'pas', 'rilis', 'model', 'wa', 'sejak', 'langsung', 'gas', 'bikin', 'website', 'chatgpt', 'versi', 'sendiri', 'basis', 'model', 'ambil', 'gemini', '25', 'pro', 'gpt4o', 'gpt5', 'enggak', 'pakai', 'kayak', 'robot', 'respny', 'sonnet', '45', 'grok', '4', 'deepseek', 'buat', 'multimodal', 'input', 'support', 'gambar', 'video', 'tts', 'balik', 'document', 'sound', 'all', 'format', 'buat', 'web', 'search', 'versi', 'sendiri', 'unfiltering', 'search', 'memory', 'vector', 'ingat', 'jangka', 'panjang', 'pakai', 'redis', 'lupa', 'tanem', 'gudang', 'fungsi', 'ai', 'execut', 'kode', 'output', 'support', 'generate', 'gambar', 'video', 'speakvoice', 'fitur', 'akses', 'kamera', 'device', 'integrasi', 'biar', 'ai', 'akses', 'cctv', 'akses', 'jaring', 'mikrotik', 'trigger', 'output', 'ai', 'merespon', 'tunggu', 'voice', 'keti', 'penggunabrbrnah', 'pentingbrsemua', 'model', 'buat', 'unfilter', 'semua', 'respone', 'prn', 'vilation', 'kata', 'slng', 'tembus', 'kasus', 'guna', 'pribadi', 'maksud', 'suka', 'laku', 'layak', 'buah', 'model', 'jadi', 'niat', 'publikasi', 'publik', 'filter', 'sama', 'sekalibrbrbisa', 'kata', 'enginering', 'ai', 'website', 'sebut', 'run', 'minimal', 'guna', '2vps', 'ram', '1gb', 'cukup', 'buat', 'makan', 'susah', 'akhir', 'putus', 'jual', 'cilok', 'keliling', 'sajabrbrpengalaman', 'sama', 'ai', 'utama', 'model', 'sebut', 'kalo', 'urus', 'koding', 'jangan', 'kompleks', 'semi', 'kompleks', '4', 'varibel', 'kalo', 'kode', 'rumit', 'halu', 'jadi', 'memang', 'ai', 'andal', 'urus', 'programmer', 'menggantikannyabrbrklo', 'bicara', 'masa', 'depan', 'sekali', 'baru', 'konteks', 'kira', 'ww3', 'jadi', 'boro-boro', 'maju', 'mundur', 'hal', 'jual', 'cilok', 'maksimal', 'optimis', 'apa', 'usaha', 'pernah', 'tau', 'masa', 'depan', 'batas', 'ranah', 'usaha', 'titik', 'maksimalbrbrjika', 'kalian', 'kata', 'diri', 'kalian', 'developer', 'jadi', 'buat', 'bukan', 'penggunabryang', 'mau', 'pesan', 'cilok', 'hubsaya']",0
soloindiegamedevjourney,"['spesifikasi', 'bikin', 'ai', 'implementasi']",0
enixmomo,"['izin', 'share', 'viewpoint', 'mas', 'owner', 'bisnis', 'punya', 'konsep', 'ide', 'sistem', 'aplikasi', 'perlu', 'contoh', 'kumpul', 'ai', 'agents', 'layak', 'struktur', 'organisasi', 'usah', 'manusia', 'biasa', 'coba', '4x', 'orang', 'beda', 'bayar', 'jasa', 'wujud', 'sesuai', 'ekspektasibrbrsaya', 'coba', 'ajar', 'sendiri', 'progress', 'sangat', 'lama', 'worth', 'waktu', 'nya', 'walaupun', 'sembari', 'bantu', 'ai', 'by', 'webbrbrtapi', 'pakai', 'mcp', 'claudecode', 'sekarang', 'sistem', 'ai', 'agents', 'ingin', 'hampir', 'lengkap', 'mungkin', 'ai', 'teman', 'ajar', 'ai', 'senjata', 'utama', 'gantung', 'kondisi', 'masingmasing', 'punya', 'waktu', 'ajar', 'memang', 'dunia', 'nya', 'percodingan', 'memang', 'baik', 'tetap', 'asah', 'fundamental', 'codingnya', 'bukan', 'arti', 'vibe', 'coding', 'jelek', 'semua', 'orangbrbrwalaupun', 'realita', 'vibecoding', 'sequotmagicquot', 'salah', 'silap', 'gantung', 'cara', 'prompting', 'pr', 'besar', 'nya', 'bagi', 'debugging', 'testing', 'manual', 'walaupun', 'buat', 'script', 'testing', 'sendiri', 'akurasi', '100brbrintinya', 'gantung', 'situasi', 'kondisi', 'dipungkiri', 'vibecoding', 'suatu', 'terobos', 'sangat', 'baik', 'mau', 'enggak', 'mau', 'tetap', 'adaptasi', 'kembang']",0
internazionalenotizia589,"['lumayan', 'pak', 'ngurangin', 'saing', 'lapang', 'kerja', 'wkwkkw', 'ai', 'bukan', 'segala-galanya', 'shortcut', 'jadi', 'hokage']",1
muhammadafirdaus,"['kalo', 'pakai', 'ai', 'bukan', 'mahasiswa']",0
